AREA_TITLE,OCC_TITLE,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,H_MEAN,A_MEAN,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90
Alabama,comp_sys_analysts,"4,360",6.4,2.261,0.63,49.56,"103,080",29.17,36.45,47.27,60.95,78.08,"60,680","75,820","98,320","126,780","162,410"
Alabama,info_secur_analysts,"2,510",12,1.304,1.17,46.4,"96,520",23.17,35.96,40.85,59.96,78.05,"48,190","74,790","84,970","124,730","162,330"
Alabama,Computer and Information Research Scientists,210,6.9,0.108,0.49,56.92,"118,390",36.33,46.16,57.58,62.54,75.37,"75,570","96,010","119,770","130,070","156,780"
Alabama,Computer Network Support Specialists,"1,120",9.7,0.58,0.46,33.8,"70,300",18.47,23.52,29.87,38.02,49.23,"38,410","48,930","62,140","79,080","102,400"
Alabama,Computer User Support Specialists,"6,620",5.8,3.431,0.74,23.99,"49,890",13.54,17.74,22.8,29,36.83,"28,170","36,900","47,430","60,330","76,600"
Alabama,Computer Network Architects,"2,470",10.2,1.281,1.07,54.93,"114,250",36.26,39.81,50.01,63.42,79.55,"75,410","82,810","104,010","131,910","165,470"
Alabama,database_administrator,"2,210",4.2,1.149,1.88,39.78,"82,730",23.34,29.38,37.88,48.06,60.07,"48,540","61,120","78,790","99,960","124,940"
Alabama,database_architechts,360,17.7,0.186,0.52,59.5,"123,770",36.01,44.96,59.61,63.42,99.32,"74,900","93,510","123,980","131,910","206,580"
Alabama,Network and Computer Systems Administrators,"4,310",6.1,2.238,1,38.11,"79,260",22.74,29.11,37.04,47.13,57.63,"47,310","60,550","77,030","98,030","119,860"
Alabama,computer_programmers,"2,110",7,1.093,1.01,42.26,"87,890",23.6,30.14,42.56,49.08,60.94,"49,090","62,690","88,530","102,090","126,760"
Alabama,software_developers,"14,240",4,7.385,0.76,49.51,"102,990",27.83,37.43,47.84,61.17,78.05,"57,880","77,850","99,510","127,240","162,350"
Alabama,Software Quality Assurance Analysts and Testers,"1,550",11,0.802,0.59,39.39,"81,940",15.26,28.57,37.32,47.93,60.95,"31,740","59,430","77,620","99,690","126,780"
Alabama,web_developers,900,10.1,0.464,0.77,23.61,"49,100",13.08,13.72,20.81,29.6,38.19,"27,200","28,530","43,290","61,560","79,440"
Alabama,web_digital_interface_designers,60,19,0.032,0.05,31.91,"66,370",18.39,22.87,30.45,37.04,46.81,"38,250","47,570","63,340","77,030","97,360"
Alabama,"Computer Occupations, All Other","2,090",3.1,1.085,0.41,43.05,"89,550",23.41,33.73,43.64,51.89,59.52,"48,690","70,160","90,770","107,930","123,800"
Alabama,Operations Research Analysts,550,5.9,0.285,0.41,50.53,"105,110",29.24,37.03,48.6,61.77,74.36,"60,820","77,030","101,090","128,480","154,660"
Alabama,Data Scientists,520,28.9,0.271,0.36,40.61,"84,470",22.63,25.12,38.6,49.33,63.14,"47,080","52,240","80,290","102,600","131,340"
Alabama,"Administrative Law Judges, Adjudicators, and Hearing Officers",70,2.1,0.038,0.39,68.56,"142,600",34.9,50.2,84.28,88.12,88.12,"72,590","104,420","175,300","183,290","183,290"
Alabama,Interpreters and Translators,170,18,0.086,0.23,21.88,"45,520",11.46,17.97,22.4,24.78,30.06,"23,840","37,380","46,590","51,540","62,510"
Alabama,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive","45,890",1.6,23.802,1.84,18.02,"37,490",12.95,14.3,17.76,21.9,23.19,"26,940","29,740","36,940","45,560","48,230"
Alabama,"Office and Administrative Support Workers, All Other",430,6.3,0.221,0.21,21.55,"44,820",13.95,16.22,20.33,25.97,30.05,"29,020","33,740","42,280","54,020","62,500"
Alaska,All Occupations,"295,880",0,1000,1,30.52,"63,480",13.92,17.68,23.47,37.46,49.81,"28,950","36,770","48,820","77,920","103,610"
Alaska,Administrative Services Managers,860,6.2,2.921,1.83,46.98,"97,720",29.56,36.01,39.19,49.77,76.87,"61,480","74,900","81,510","103,520","159,890"
Alaska,Computer and Information Systems Managers,470,4.4,1.584,0.46,59.25,"123,230",38.49,48.35,60.72,63.18,80.24,"80,060","100,570","126,300","131,420","166,900"
Alaska,Computer and Mathematical Occupations,"4,910",4.5,16.593,0.5,40.07,"83,340",22.87,29.42,38.01,48.59,61.11,"47,570","61,200","79,050","101,060","127,110"
Alaska,comp_sys_analysts,270,9.1,0.926,0.26,45.73,"95,120",29.69,37.38,47.43,49.23,62.76,"61,750","77,750","98,650","102,410","130,540"
Alaska,info_secur_analysts,210,15.7,0.699,0.63,41.92,"87,190",29.36,37.34,38.09,48.59,59.74,"61,070","77,660","79,230","101,060","124,260"
Alaska,Computer Network Support Specialists,560,32.4,1.88,1.5,27.64,"57,490",11.39,18.55,23.73,36.98,46.86,"23,680","38,580","49,360","76,920","97,460"
Alaska,Computer User Support Specialists,760,10.1,2.554,0.55,29.49,"61,350",21.66,23.12,28.98,30.24,46.29,"45,050","48,090","60,280","62,890","96,270"
Alaska,Computer Network Architects,110,18.7,0.372,0.31,49.79,"103,570",37.61,39.45,49.45,61.39,63.68,"78,230","82,050","102,860","127,690","132,460"
Alaska,database_administrator,110,20.7,0.386,0.63,44.36,"92,280",29.69,30.59,47.43,49.23,61.11,"61,750","63,620","98,650","102,410","127,110"
Alaska,database_architechts,40,24.1,0.118,0.33,47.76,"99,330",29.3,38.29,48.89,58.03,62.4,"60,950","79,640","101,690","120,710","129,800"
