AREA_TITLE,OCC_TITLE,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,H_MEAN,A_MEAN,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90
Alabama,Administrative Services Managers,410,10.9,0.211,0.13,59.67,"124,100",30.10,37.05,55.86,71.43,99.41,"62,620","77,070","116,190","148,570","206,780"
Alabama,Facilities Managers,660,6.6,0.343,0.48,55.62,"115,680",28.35,38.44,49.09,62.50,79.07,"58,980","79,960","102,110","129,990","164,470"
Alabama,Computer and Information Systems Managers,"4,460",3.6,2.312,0.67,61.61,"128,150",36.08,45.58,60.82,77.65,92.03,"75,040","94,810","126,500","161,510","191,420"
Alabama,Computer and Mathematical Occupations,"46,460",2.2,24.095,0.73,42.55,"88,510",20.82,29.00,38.40,50.95,64.05,"43,300","60,320","79,880","105,980","133,220"
Alabama,Computer Systems Analysts,"4,360",6.4,2.261,0.63,49.56,"103,080",29.17,36.45,47.27,60.95,78.08,"60,680","75,820","98,320","126,780","162,410"
Alabama,Information Security Analysts,"2,510",12.0,1.304,1.17,46.40,"96,520",23.17,35.96,40.85,59.96,78.05,"48,190","74,790","84,970","124,730","162,330"
Alabama,Computer and Information Research Scientists,210,6.9,0.108,0.49,56.92,"118,390",36.33,46.16,57.58,62.54,75.37,"75,570","96,010","119,770","130,070","156,780"
Alabama,Computer Network Support Specialists,"1,120",9.7,0.580,0.46,33.80,"70,300",18.47,23.52,29.87,38.02,49.23,"38,410","48,930","62,140","79,080","102,400"
Alabama,Computer User Support Specialists,"6,620",5.8,3.431,0.74,23.99,"49,890",13.54,17.74,22.80,29.00,36.83,"28,170","36,900","47,430","60,330","76,600"
Alabama,Computer Network Architects,"2,470",10.2,1.281,1.07,54.93,"114,250",36.26,39.81,50.01,63.42,79.55,"75,410","82,810","104,010","131,910","165,470"
Alabama,Database Administrators,"2,210",4.2,1.149,1.88,39.78,"82,730",23.34,29.38,37.88,48.06,60.07,"48,540","61,120","78,790","99,960","124,940"
